Minor:,Group1 Type:,Group1 Type Amt:,Group1 List:,Group2 Type:,Group2 Type Amt:,Group2 List:,Group3 Type:,Group3 Type Amt:,Group3 List:,Group4 Type:,Group4 Type Amt:,Group4 List:,Group5 Type:,Group5 Type Amt:,Group5 List:,Group6 Type:,Group6 Type Amt:,Group6 List:,Required Classes:,Total Credit Hours:
Adult Development,C,1,"HDFS 225, HDFS 425, HDFS 426",H,6,"AGED 490, CMN 336, CMN 368, EPSY 407, HDFS 404 OR CHLH 404, PSYC 361, RST 316, SOCW 240, SOCW 315, HDFS 294, HDFS 450, HDFS 494",,,,,,,,,,,,,"HDFS 105, HDFS 120, HDFS 310",18
Aging,H,9,"KIN 459, SOCW 240, SOCW 315, CHLH 494, RST 316, RST 335, SHS 271, KIN 386, EPSY 407, UP 340",,,,,,,,,,,,,,,,"IHLT 240, CHLH 404, PSYC 361",18
Agricultural Safety & Health,H,3,"TSM 293, TSM 295, TSM 496",H,6,"CHLH 101, CHLH 244, CHLH 274, CHLH 304, CHLH 469, CHLH 474, CHLH 540, FSHN 480, HDFS 105, KIN 262, PSYC 100, PSYC 103, PSYC 358, PSYC 456",,,,,,,,,,,,,"TSM 421, TSM 422, TSM 425",18
Animal Sciences,C,2,"ANSC 223, ANSC 224, ANSC 221, ANSC 222",C,2,"ANSC 3XX, ANSC 4XX, !ANSC 398, !ANSC 499",,,,,,,,,,,,,"ANSC 100, ANSC 101",20
Anthropology,C,2,"ANTH 220, ANTH 230, ANTH 240, ANTH 270",H,6,"ANTH 3XX, ANTH 4XX",HX,6,"ANTH 1XX, ANTH 2XX, ANTH 3XX, ANTH 4XX, ANTH 5XX",,,,,,,,,,,18
Architectural Studies,H,6,"ARCH 321, ARCH 434, ARCH 314, ARCH 402, ARCH 403, ARCH 407, ARCH 410, ARCH 411, ARCH 412, ARCH 413, ARCH 414, ARCH 415, ARCH 416, ARCH 417, ARCH 418",,,,,,,,,,,,,,,,"ARCH 171 ARCH 210, ARCH 231, ARCH 273",19
Asian American Studies,H,3,"AAS 1XX, AAS 2XX, AAS 3XX, AAS 4XX",H,3,"AAS 3XX, AAS 4XX",,,,,,,,,,,,,"AAS 100, AAS 200, AAS 215, AAS 300",18
Business Minor for Non-Business Majors,C,2,"BADM 300, BADM 311, BADM 312, BADM 313, BADM 314, BADM 323, BADM 326, BADM 340, BADM 350, BADM 367, BADM 375, BADM 380, BADM 381",,,,,,,,,,,,,,,,"ACCY 200, BAMD 310, BADM 320, FIN 221",18
Cinema Studies,C,1,"MACS 207, MACS 382, MACS 383, MACS 419, MACS 466, MACS 470, MACS 490, MACS 493, ANTH 266, ITAL 270, MACS 205, MACS 211, MACS 250, MACS 335, MACS 356, MACS 365, MACS 375, MACS 381, MACS 432, MACS 461, MDIA 223, MDIA 380, ENGL 272",C,1,"MACS 3XX, MACS 4XX",,,,,,,,,,,,,"MACS 203, MACS 261, MACS 262, MACS 361",18
Computational Science & Engineering,C,1,"CS 101, ECE 220, CS 125, LING 402, CS 225",C,1,"MATH 441, MATH 442, MATH 489, MATH 415, ECE 493, STAT 408, STAT 409, STAT 410, STAT 420, STAT 430, STAT 461, MATH 482, MATH 484, MATH 446, MATH 448, MATH 444, MATH 447",C,1,"CS 450 OR CSE 401, TAM 470 OR CSE 450, ECE 448 OR CS 440, CS 411, STAT 440, LING 402, CS 466, GEOG 489",H,9,"CHEM 576, CS 466, CSE 564 OR CEE 534, CSE 565 OR CEE 557, CSE 566 OR ATMS 502 OR CS 505, CHEM 550, CSE 402 OR CS 420 OR ECE 492, CSE 422 ORR CS 433, CSE 423 OR CS 423, CSE 426 OR CS 427, CSE 427 OR CS 418, CSE 429 OR CS 428, CSE 521 OR ECE 511, CSE 522 OR CS 533, CSE 527 OR CS 519, CSE 530 OR ECE 540, CSE 532 ORR ECE 552, CSE 450 OR TAM 470, CSE 461 OR AE 410, CSE 560 OR TAM 570, CSE 561 OR ME 554, CSE 566 OR ATMS 502, CSE 412 OR ME 412, CSE 401 OR CS 450 OR ECE 491 OR MATH 450, CSE 414 OR CS 473 OR MATH 473, CSE 441 OR ECE 490, CSE 510 OR CS 555, CSE 511 OR CS 556, CSE 512 CS 554, CSE 513 OR CS 558, CSE 515 OR CS 573, CSE 517 OR TAM 574, CSE 553 OR CEE 577, CEE 528, ASTR 510, CSE 485 OR MSE 485 OR PHYS 466, CSE 441 OR ECE 490, CSE 543 OR ECE 547, ECE 513, ECE 558, CSE 450 OR TAM 470, CSE 451 OR ME 471 OR AE 420, CSE 517 OR TAM 574, CSE 551 OR CEE 570, CSE 552 OR CEE 576, ME 570, TAM 598, CSE 428 OR STAT 428, CSE 440 OR STAT 440, CSE 448 OR STAT 448, CSE 525 OR STAT 525, CSE 531 OR STAT 530, CSE 542 ORRR STAT 542, STAT 430, CS 412, CS 410",,,,,,,,18
