Minor:,Group1 Type:,Group1 Type Amt:,Group1 List:,Group1 Courses Not Allowed:,Group2 Type:,Group2 Type Amt:,Group2 List:,Group2 Courses Not Allowed:,Group3 Type:,Group3 Type Amt:,Group3 List:,Group3 Courses Not Allowed:,Group4 Type:,Group4 Type Amt:,Group4 List:,Group4 Courses Not Allowed:,Group5 Type:,Group5 Type Amt:,Group5 List:,Group5 Courses Not Allowed:,Group6 Type:,Group6 Type Amt:,Group6 List:,Group6 Courses Not Allowed:,Required Classes:,Total Credit Hours:
Adult Development,C,1,"HDFS 225, HDFS 425, HDFS 426",,H,6,"AGED 490, CMN 336, CMN 368, EPSY 407, HDFS 404 REPL CHLH 404, PSYC 361, RST 316, SOCW 240, SOCW 315, HDFS 294, HDFS 450, HDFS 494",,,,,,,,,,,,,,,,,,"HDFS 105, HDFS 120, HDFS 310",18
Aging,H,9,"KIN 459, SOCW 240, SOCW 315, CHLH 494, RST 316, RST 335, SHS 271, KIN 386, EPSY 407, UP 340",,,,,,,,,,,,,,,,,,,,,,"IHLT 240, CHLH 404, PSYC 361",18
Agricultural Safety & Health,H,3,"TSM 293, TSM 295, TSM 496",,H,6,"CHLH 101, CHLH 244, CHLH 274, CHLH 304, CHLH 469, CHLH 474, CHLH 540, FSHN 480, HDFS 105, KIN 262, PSYC 100, PSYC 103, PSYC 358, PSYC 456",,,,,,,,,,,,,,,,,,"TSM 421, TSM 422, TSM 425",18
Animal Sciences,C,2,"ANSC 223, ANSC 224, ANSC 221, ANSC 222",,C,2,"ANSC 301, ANSC 305, ANSC 306, ANSC 307, ANSC 309, ANSC 310, ANSC 312, ANSC 313, ANSC 314, ANSC 322, ANSC 331, ANSC 350, ANSC 363, ANSC 366, ANSC 370, ANSC 396, ANSC 400, ANSC 401, ANSC 402, ANSC 403, ANSC 404, ANSC 405, ANSC 406, ANSC 407, ANSC 409, ANSC 420, ANSC 421, ANSC 422, ANSC 423, ANSC 424, ANSC 431, ANSC 435, ANSC 437, ANSC 438, ANSC 440, ANSC 441, ANSC 444, ANSC 445, ANSC 446, ANSC 447, ANSC 448, ANSC 449, ANSC 450, ANSC 451, ANSC 452, ANSC 453, ANSC 467, ANSC 471, ANSC 498","ANSC 398, ANSC 499",,,,,,,,,,,,,,,,,"ANSC 100, ANSC 101",20
Anthropology,C,2,"ANTH 220, ANTH 230, ANTH 240, ANTH 270",,H,6,"ANTH 340, ANTH 341, ANTH 342, ANTH 343, ANTH 346, ANTH 347, ANTH 358, ANTH 360, ANTH 361, ANTH 362, ANTH 363, ANTH 364, ANTH 368, ANTH 370, ANTH 372, ANTH 373, ANTH 374, ANTH 375, ANTH 379, ANTH 380, ANTH 390, ANTH 393, ANTH 399, ANTH 402, ANTH 403, ANTH 404, ANTH 405, ANTH 408, ANTH 411, ANTH 414, ANTH 416, ANTH 420, ANTH 421, ANTH 423, ANTH 425, ANTH 430, ANTH 432, ANTH 435, ANTH 436, ANTH 437, ANTH 438, ANTH 440, ANTH 441, ANTH 443, ANTH 444, ANTH 445, ANTH 446, ANTH 447, ANTH 448, ANTH 449, ANTH 451, ANTH 452, ANTH 453, ANTH 454, ANTH 455, ANTH 459, ANTH 460, ANTH 461, ANTH 462, ANTH 463, ANTH 464, ANTH 465, ANTH 466, ANTH 467, ANTH 469, ANTH 471, ANTH 472, ANTH 477, ANTH 479, ANTH 481, ANTH 486, ANTH 488, ANTH 494, ANTH 495, ANTH 496, ANTH 497, ANTH 498, ANTH 499",,H,6,"ANTH 101, ANTH 102, ANTH 103, ANTH 104, ANTH 105, ANTH 106, ANTH 108, ANTH 109, ANTH 130, ANTH 143, ANTH 157, ANTH 160, ANTH 165, ANTH 175, ANTH 180, ANTH 182, ANTH 199, ANTH 209, ANTH 210, ANTH 220, ANTH 222, ANTH 223, ANTH 224, ANTH 225, ANTH 230, ANTH 240, ANTH 241, ANTH 242, ANTH 243, ANTH 246, ANTH 247, ANTH 249, ANTH 250, ANTH 258, ANTH 259, ANTH 261, ANTH 262, ANTH 266, ANTH 268, ANTH 270, ANTH 271, ANTH 272, ANTH 277, ANTH 278, ANTH 285, ANTH 286, ANTH 287, ANTH 288, ANTH 290, ANTH 340, ANTH 341, ANTH 342, ANTH 343, ANTH 346, ANTH 347, ANTH 358, ANTH 360, ANTH 361, ANTH 362, ANTH 363, ANTH 364, ANTH 368, ANTH 370, ANTH 372, ANTH 373, ANTH 374, ANTH 375, ANTH 379, ANTH 380, ANTH 390, ANTH 393, ANTH 399, ANTH 402, ANTH 403, ANTH 404, ANTH 405, ANTH 408, ANTH 411, ANTH 414, ANTH 416, ANTH 420, ANTH 421, ANTH 423, ANTH 425, ANTH 430, ANTH 432, ANTH 435, ANTH 436, ANTH 437, ANTH 438, ANTH 440, ANTH 441, ANTH 443, ANTH 444, ANTH 445, ANTH 446, ANTH 447, ANTH 448, ANTH 449, ANTH 451, ANTH 452, ANTH 453, ANTH 454, ANTH 455, ANTH 459, ANTH 460, ANTH 461, ANTH 462, ANTH 463, ANTH 464, ANTH 465, ANTH 466, ANTH 467, ANTH 469, ANTH 471, ANTH 472, ANTH 477, ANTH 479, ANTH 481, ANTH 486, ANTH 488, ANTH 494, ANTH 495, ANTH 496, ANTH 497, ANTH 498, ANTH 499, ANTH 503, ANTH 504, ANTH 508, ANTH 511, ANTH 512, ANTH 514, ANTH 515, ANTH 517, ANTH 518, ANTH 523, ANTH 532, ANTH 540, ANTH 543, ANTH 552, ANTH 555, ANTH 557, ANTH 560, ANTH 561, ANTH 562, ANTH 565, ANTH 570, ANTH 589, ANTH 590, ANTH 594",,,,,,,,,,,,,,,18
Architectural Studies,H,6,"ARCH 321, ARCH 434, ARCH 314, ARCH 402, ARCH 403, ARCH 407, ARCH 410, ARCH 411, ARCH 412, ARCH 413, ARCH 414, ARCH 415, ARCH 416, ARCH 417, ARCH 418",,,,,,,,,,,,,,,,,,,,,,"ARCH 171, ARCH 210, ARCH 231, ARCH 273",19
Asian American Studies,H,3,"AAS 100, AAS 105, AAS 120, AAS 199, AAS 200, AAS 201, AAS 211, AAS 215, AAS 224, AAS 246, AAS 258, AAS 260, AAS 265, AAS 275, AAS 281, AAS 282, AAS 283, AAS 286, AAS 287, AAS 288, AAS 290, AAS 291, AAS 297, AAS 299, AAS 300, AAS 310, AAS 315, AAS 317, AAS 328, AAS 343, AAS 346, AAS 355, AAS 365, AAS 370, AAS 375, AAS 390, AAS 395, AAS 400, AAS 402, AAS 435, AAS 464, AAS 465, AAS 479, AAS 490",,H,3,"AAS 300, AAS 310, AAS 315, AAS 317, AAS 328, AAS 343, AAS 346, AAS 355, AAS 365, AAS 370, AAS 375, AAS 390, AAS 395, AAS 400, AAS 402, AAS 435, AAS 464, AAS 465, AAS 479, AAS 490",,,,,,,,,,,,,,,,,,"AAS 100, AAS 200, AAS 215, AAS 300",18
Business Minor for Non-Business Majors,C,2,"BADM 300, BADM 311, BADM 312, BADM 313, BADM 314, BADM 323, BADM 326, BADM 340, BADM 350, BADM 367, BADM 375, BADM 380, BADM 381",,,,,,,,,,,,,,,,,,,,,,"ACCY 200, BAMD 310, BADM 320, FIN 221",18
Cinema Studies,C,1,"MACS 207, MACS 382, MACS 383, MACS 419, MACS 466, MACS 470, MACS 490, MACS 493, ANTH 266, ITAL 270, MACS 205, MACS 211, MACS 250, MACS 335, MACS 356, MACS 365, MACS 375, MACS 381, MACS 432, MACS 461, MDIA 223, MDIA 380, ENGL 272",,C,1,"MACS 300, MACS 317, MACS 320, MACS 321, MACS 322, MACS 323, MACS 326, MACS 331, MACS 335, MACS 345, MACS 346, MACS 351, MACS 352, MACS 356, MACS 361, MACS 364, MACS 365, MACS 371, MACS 373, MACS 375, MACS 377, MACS 381, MACS 382, MACS 383, MACS 389, MACS 391, MACS 395, MACS 408, MACS 410, MACS 419, MACS 423, MACS 425, MACS 432, MACS 461, MACS 464, MACS 466, MACS 470, MACS 490, MACS 492, MACS 493, MACS 494, MACS 495, MACS 496, MACS 499",,,,,,,,,,,,,,,,,,"MACS 203, MACS 261, MACS 262, MACS 361",18
Computational Science & Engineering,C,1,"CS 101, ECE 220, CS 125, LING 402, CS 225",,C,1,"MATH 441, MATH 442, MATH 489, MATH 415, ECE 493, STAT 408, STAT 409, STAT 410, STAT 420, STAT 430, STAT 461, MATH 482, MATH 484, MATH 446, MATH 448, MATH 444, MATH 447",,C,1,"CS 450 REPL CSE 401, TAM 470 REPL CSE 450, ECE 448 REPL CS 440, CS 411, STAT 440, LING 402, CS 466, GEOG 489",,H,9,"CHEM 576, CS 466, CSE 564 REPL CEE 534, CSE 565 REPL CEE 557, CSE 566 REPL ATMS 502 REPL CS 505, CHEM 550, CSE 402 REPL CS 420 REPL ECE 492, CSE 422 REPL CS 433, CSE 423 REPL CS 423, CSE 426 REPL CS 427, CSE 427 REPL CS 418, CSE 429 REPL CS 428, CSE 521 REPL ECE 511, CSE 522 REPL CS 533, CSE 527 REPL CS 519, CSE 530 REPL ECE 540, CSE 532 REPL ECE 552, CSE 450 REPL TAM 470, CSE 461 REPL AE 410, CSE 560 REPL TAM 570, CSE 561 REPL ME 554, CSE 566 REPL ATMS 502, CSE 412 REPL ME 412, CSE 401 REPL CS 450 REPL ECE 491 REPL MATH 450, CSE 414 REPL CS 473 REPL MATH 473, CSE 441 REPL ECE 490, CSE 510 REPL CS 555, CSE 511 REPL CS 556, CSE 512, CS 554, CSE 513 REPL CS 558, CSE 515 REPL CS 573, CSE 517 REPL TAM 574, CSE 553 REPL CEE 577, CEE 528, ASTR 510, CSE 485 REPL MSE 485 REPL PHYS 466, CSE 441 REPL ECE 490, CSE 543 REPL ECE 547, ECE 513, ECE 558, CSE 450 REPL TAM 470, CSE 451 REPL ME 471 REPL AE 420, CSE 517 REPL TAM 574, CSE 551 REPL CEE 570, CSE 552 REPL CEE 576, ME 570, TAM 598, CSE 428 REPL STAT 428, CSE 440 REPL STAT 440, CSE 448 REPL STAT 448, CSE 525 REPL STAT 525, CSE 531 REPL STAT 530, CSE 542 REPL STAT 542, STAT 430, CS 412, CS 410",,,,,,,,,,,18
